Frame,C009,C013,C005,C004,C012,C003,C023,C002,C001,C016,C000,C007,C011,C010,C006
5.463414,-0.7856229,2.858385,-0.343933,1.103431,0.5513983,-0.7352369,0.9074941,-0.5828426,-0.5600162,-0.8446951,-0.2265613,-0.2540461,-1.093295,-2.446646,-0.6726589
5.530041,2.456378,1.934217,0.1226146,1.217936,-1.366408,-3.183546,1.140468,-0.160591,-0.8940163,0.7373086,-0.3513779,-0.4954076,0.1006035,-1.796854,0.370058
5.596668,-0.7211211,1.461253,0.1139101,0.7072502,-1.775525,-2.052463,0.5069962,0.3789974,0.1690658,0.4732972,-0.09487445,-0.3220098,-0.08173192,-0.6143696,0.2677672
5.663295,1.624273,1.889376,-0.5128177,-0.5456721,-1.018342,-0.3107763,1.628183,1.339759,0.1410961,1.156559,0.07252062,-0.415569,1.281966,-1.149738,0.0424493
5.729922,-1.365386,1.295238,-0.4522903,-0.0753577,-0.5458885,-2.014212,1.690199,1.044103,0.2646665,0.656873,-0.2361414,-0.3779391,2.124103,0.1244558,-0.9456993
5.796549,-1.278268,-0.4288736,0.04185091,-0.4598188,-0.3450347,0.826582,-0.2411789,0.5643515,0.09346583,0.31797,-0.3487451,-0.1666528,-0.3660491,0.1016724,0.3342562
5.863176,1.084184,0.3056493,-0.6079496,-1.335158,0.2169752,0.2172558,1.53751,1.375763,-0.4456694,-0.4907423,0.3220755,-0.4014671,0.1298421,0.6017419,-0.2825467
5.929803,-0.6190058,0.8343664,-0.1727898,-0.01391407,-0.6647924,-1.385874,0.1928239,0.6693219,-0.1638042,0.07230671,0.07437199,-0.5409742,-0.03445871,-0.3390006,-0.3473408
5.99643,0.2378514,0.1949383,0.4790691,0.1825012,-0.5776212,-0.6372098,0.9384189,0.3750381,-0.09862246,0.1656485,-0.2391449,-0.3995305,0.508301,0.3612404,-0.2585742
6.063057,0.1264011,-0.6467758,-0.4897097,-0.2959334,-1.203362,0.163738,0.8006269,0.1623126,0.1175467,-0.1311368,-0.1664457,-0.777559,1.017039,0.414597,0.04445233
6.129684,-0.5607552,1.518863,-0.4280948,-0.1379748,-0.2149378,-0.6825939,0.1510844,-0.1232681,0.4699165,-0.6163084,0.2809454,-0.354069,-0.6719143,-0.792358,0.1353992
6.196311,0.322998,0.3716349,-0.3341288,-0.8219425,-0.7463066,-0.6676033,1.021098,-0.5367114,-0.07315015,-0.1648612,-0.4203298,-0.5519057,0.6825519,-0.743306,-0.6149695
6.262938,-0.1792053,0.6643946,-0.08511739,-0.5720519,0.2794405,-1.107229,0.3198535,0.04274796,0.5116112,-0.1876169,-0.002303493,-0.3546329,0.09912549,-0.3008223,-1.429336
6.329565,-0.4197313,-1.155379,-0.02677868,-0.5246847,-1.053633,1.610239,1.084615,0.1056989,0.298232,0.2843188,-0.2982486,-0.5359702,-1.213719,0.7451423,-0.8324223
6.396192,-0.1891551,-0.9120232,-0.3662632,-0.2371416,-0.7921479,-0.1890513,0.05136753,0.6872922,0.4327451,0.2102131,-0.4033564,-0.7256169,-0.471133,0.7959461,-0.5523913
6.462819,-0.008642376,-1.048089,-0.7020729,-0.2659414,-0.9175173,0.02681434,0.00634245,-0.4402908,0.2525248,-0.1648768,-0.4955988,-0.4910323,-0.7301049,0.5457492,-0.1847108
6.529446,0.0877776,-0.1302479,-0.82389,-0.01947054,-0.2458822,-0.711138,-0.2358657,0.3865307,0.35047,-0.2361725,-0.4651317,-0.5242584,-1.401103,0.832386,-0.4468459
6.596073,0.8242538,0.8105427,-0.6620228,0.4065988,-0.373256,-0.09660304,0.6477765,0.3298246,-0.1711283,0.4040931,-0.5225899,-0.2898463,-0.8767763,1.162588,-1.033101
6.6627,0.4442867,-1.480681,-0.5082904,0.3350567,-0.9900524,-2.259131,-0.530142,1.955655,-0.053773,0.3390758,-0.1961609,0.1556674,0.2697028,0.9696778,0.1376162
6.729327,0.6434484,2.095401,-1.14535,-0.1191325,0.4108557,-2.448858,-0.2736305,1.37903,-0.05692017,-0.337853,-0.3066292,-0.2893433,-1.043021,1.822501,-1.113977
6.795954,1.47873,0.4746606,-1.885532,-0.2085561,-0.9267506,0.4592099,0.2476101,1.42764,-0.4019427,-0.4217546,-0.7490515,-0.1397592,0.06039289,2.31988,-0.4768888
6.862581,3.200427,-0.9186574,-0.2200737,-1.091931,0.7393729,-4.256237,0.5838141,-0.4964367,-0.4598555,-0.1169005,-0.01446655,-0.06097095,4.171467,0.06653558,-0.444034
6.929208,2.287763,-1.553404,-0.1652893,0.496622,2.551047,0.1368649,-0.9227933,0.1958783,-0.6689917,-0.4477017,0.1054852,-0.4060903,-2.008052,0.3377889,-0.4075061
6.995835,1.539094,-1.141525,-0.8666133,1.85375,2.834441,-5.003727,-0.2767584,0.5188493,-0.8149939,-0.9062911,-0.3400528,-0.3454854,3.213724,-0.2183103,-0.4680712
7.062462,-0.6579819,2.995482,-1.231944,-1.022641,2.297661,-1.354537,0.1593782,-0.4515097,-0.5799504,-1.23507,-0.2205106,-0.8627211,4.237285,-0.605874,-0.4940478
7.129089,0.145113,3.831177,-1.39284,-0.2180825,3.691242,-3.810328,-0.3892922,1.974608,0.06377004,-1.218296,0.03316541,-0.3812821,2.170095,-0.5018615,-0.8327674
7.195716,1.098433,0.4584723,-0.5947499,0.01261737,2.898522,-2.057807,0.7696226,-1.695757,-0.6392372,-0.1138064,-0.2455588,-0.6296794,0.5102484,-0.6219223,-0.03014858
7.262343,-0.9506623,-1.858172,-1.210802,0.7312334,2.963431,-2.708313,-0.7103872,2.125528,-0.2915057,-1.119567,0.595255,-0.2429267,-1.885258,-0.04985652,-0.6968013
7.32897,-0.06492662,-2.304635,-0.7950695,-0.7319595,0.9971621,-2.032367,-0.4519871,-1.182393,-1.192294,-0.08058507,-0.2771455,-0.03601641,-0.9397401,-0.5223358,0.02913913
7.395597,-1.243822,1.778864,-0.5971121,0.6012742,1.845769,-0.7992686,0.43103,-0.4824924,-0.6047795,0.3927788,-0.304765,0.04075755,2.582206,-0.1734421,-0.1843967
7.462224,0.372934,0.2317998,-0.7920868,1.49584,2.543072,0.07526211,0.5483612,-0.1881166,-0.339963,0.7141535,-0.2089741,-0.2853414,-0.3595163,-1.268057,0.1145967
7.528851,-1.202195,0.7049515,-0.3788094,1.432742,1.306599,-0.8422394,0.5599313,0.7892049,0.2799798,0.2854464,-0.1121234,-0.1989326,-0.2431307,0.2245537,-0.347553
7.595478,0.2868182,-0.465872,-0.05507903,0.07531924,1.732904,1.127673,0.9091306,-0.2141109,0.03914403,0.2183765,-0.09177158,-0.2477162,0.1439241,0.1571213,-0.8810454
7.662105,-0.03814139,1.238832,0.210412,-0.2125173,0.2942912,0.3821463,0.9057708,0.2738462,-0.2065918,0.4782275,0.1022894,-0.04642693,0.3995721,0.1400144,-0.09572853
7.728732,-2.411244,0.4041329,0.1718033,-0.09050411,0.5927628,0.1995034,0.7766572,0.5695965,0.2652814,1.012935,0.6470414,-0.2666847,-0.508657,-0.1993935,-0.2697096
7.795359,0.5308086,0.9908829,0.2645342,0.2064974,1.449851,1.070727,0.01564234,0.5335483,0.06610459,0.3944305,-0.08135224,-0.3258385,-1.112242,-1.337596,0.02702316
