Frame,C009,C005,C004,C008,C003,C019,C002,C001,C000,C007,C011,C010,C006
4.530636,0.1489516,-0.1941339,-0.032779,-0.031401,-0.5064618,0.664641,0.2130585,0.05169942,-0.1608255,-0.4176477,-0.2185479,0.2085132,-0.0101392
4.597263,-0.2042198,-0.1657266,0.01271619,-0.6413965,-0.17501,0.9800802,0.9899392,-0.140615,-0.677096,-0.4229941,-0.734455,-0.1213848,-0.403602
4.66389,-0.1446448,0.1741765,0.06833617,-0.5811916,-1.325957,0.07821278,0.3740739,0.1287914,-0.1931127,0.1184385,-0.2938972,0.04862317,-0.04249829
4.730517,-0.07181911,-0.2543588,0.1590846,-0.005622801,-0.5688078,0.7201219,-0.1381069,0.1214074,0.1610492,0.04798059,0.1401446,-0.4925175,-0.424277
4.797144,-0.1247366,0.3572416,-0.05634709,-0.5992786,-0.0680144,0.5485967,0.06582832,-0.1761435,0.112425,0.188917,0.9908724,-0.2078408,-0.2779931
4.863771,-0.5232346,0.04620972,0.1710262,-0.1699523,-0.03025712,-0.1152807,0.5125511,-0.1833587,-0.07163466,0.1785401,0.1426544,0.2291983,-0.6771884
4.930398,-0.2475635,-0.0392113,0.04055713,-0.557604,-0.3537059,0.2391012,0.2245556,0.08375701,0.02593301,0.6761926,-0.6007733,0.2696863,-0.3109012
4.997025,-0.2512626,-0.1902303,0.001728154,-0.3086982,-0.4977357,0.4651808,0.4624636,0.3437814,0.109947,0.09941075,-0.7360607,0.05015361,-0.1794511
5.063652,-0.06374538,0.1611551,-0.03140705,-0.468345,-1.068623,0.3543395,0.1834845,0.2967012,-0.05424781,0.2073049,-0.6249171,-0.2074266,-0.2841819
5.130279,-0.1759225,0.0630895,0.0576073,-0.3109913,-0.8179553,0.4155986,0.6519704,-0.4917768,-0.382584,-0.1807981,-0.5156734,-0.1541943,-0.1649757
5.196906,-0.3989983,-0.0489137,0.1183814,-0.1572831,-0.4281826,0.1753769,-0.05372119,-0.0664904,0.1227543,-0.5109106,-0.3331752,-0.6913172,-0.353143
5.263533,-0.5472301,0.2145557,0.009631938,-0.6086813,-0.0629645,0.2386024,-0.4284944,-0.1400668,0.1222423,0.4456585,-0.7255259,-0.08527826,-0.2688462
5.33016,-0.2395517,-0.668377,-0.01215197,-0.7585773,-0.2588504,0.3715606,0.448712,0.01858108,-0.221239,0.1699879,-1.075627,0.3308184,-0.4803205
5.396787,-0.2058168,-0.07394318,0.1359985,-0.5178357,-1.209479,0.08565894,0.0517237,-0.7567388,-0.1791649,0.598044,0.1456797,0.4939981,-0.3918789
5.463414,-0.2160584,-0.325433,0.08264515,-0.2173013,-0.4426253,-0.1237099,0.09148744,0.5499036,-0.4923921,-0.9849892,0.007385495,0.4186876,-0.1885667
5.530041,-0.06467292,0.3890264,0.04938782,-0.02772756,0.1018652,-0.04523041,0.5682629,0.5406314,0.1079339,-0.283852,-0.6928338,0.3250044,-0.07945112
5.596668,0.08805371,-0.07214917,-0.1366666,0.1324704,-0.3165591,0.8220425,0.4540295,0.8781888,-0.250967,0.4411715,-0.72399,0.5918285,-0.2349329
5.663295,0.2036987,-0.543431,0.04287592,-0.6995531,-0.0522883,-0.2033,0.6024112,0.1157957,0.1602374,-0.2579698,-0.5747738,0.7933096,-0.7188132
5.729922,0.2540745,-0.2179523,0.1500902,-0.1095782,-0.6215225,-0.1963756,-0.4311306,0.2996925,-0.4281704,0.1946746,-0.3129256,0.4220835,-0.4287946
5.796549,-0.04753391,0.04514568,0.06026719,-0.2670889,-0.345207,0.1071841,0.4020296,0.3579277,-0.1010602,-0.07510227,-0.3799298,0.8572063,-0.1755344
5.863176,0.4061469,0.2333232,-0.1006511,-0.3575906,-0.05547832,-0.01807335,1.388377,-0.1702443,0.03365226,-0.9288006,-0.7639452,0.552709,-0.5565028
5.929803,0.3336875,0.1304016,-0.1065319,0.4687264,-0.4464623,0.9367806,0.0793391,0.359037,-0.2064905,0.2217018,0.5108597,-0.1695171,-0.2714279
5.99643,0.1532907,-0.4508581,-0.1822691,0.04987113,-0.5992395,-0.4986064,0.3837036,-0.08555477,0.07638593,-1.540234,-0.05879774,0.2631025,-0.5345777
6.063057,0.2224966,-0.1266323,-0.0279805,-0.4956597,-0.1398837,0.1763834,0.4923599,0.1737315,0.1807819,-0.4134842,-0.8086463,0.1104345,-0.8400416
6.129684,-0.2945557,-0.5512471,0.2030612,-0.3487017,1.204198,-0.01036413,-0.2272519,0.9180345,0.1213408,-0.6306536,-0.5744442,0.4964597,-0.7605429
6.196311,0.06990021,-0.4221186,-0.1013779,-0.2867177,-0.8092202,1.364838,0.2793879,0.8533756,-0.2548651,-1.032019,0.2765845,1.118548,-0.1037434
6.262938,-0.2002561,-0.104745,-0.08155414,-0.09792025,-1.470824,0.3720564,-0.09997715,-0.3420089,-0.4831309,0.06265131,0.02806267,-0.6498627,-0.7479848
6.329565,-0.5430183,-0.421972,-0.2425618,-0.9516116,0.2748029,-0.02297985,0.6083384,-0.2971534,-0.1069887,0.3432526,1.580307,0.3979325,-0.6938143
