Frame,C009,C025,C013,C005,C029,C028,C004,C012,C008,C015,C003,C019,C022,C018,C002,C014,C001,C017,C021,C020,C016,C000,C027,C050,C007,C011,C010,C006,C026,C030
3.064888,-0.4004868,-0.0284695,-0.1004324,-0.01463649,-1.358065,-1.324947,1.069808,0.9775423,-0.6754249,0.3848014,-0.4943396,0.1920659,-1.386568,0.5156063,-1.088859,0.6301072,-0.1218242,0.8284657,0.1689179,0.2734832,1.541264,-0.1850723,1.558868,-0.4628343,-1.393656,0.1206911,-1.119176,0.05779286,-0.403975,-0.3476925
3.131516,-0.8778736,-0.9315483,-0.2495669,-0.2649952,-1.373061,-0.2274382,1.022034,0.5933321,-0.5228215,-0.5811211,-0.8964831,0.7995787,-1.790777,0.07860006,-0.927365,0.7383099,-0.6154733,0.3739674,0.4273227,-0.3070376,0.9633191,-0.09283803,1.564448,-0.3544602,-1.519501,0.9534083,-1.384976,-0.03377823,-0.4179371,-0.2454402
3.198144,-0.3427853,-0.1534786,0.1486553,0.422639,-2.02386,-0.5784535,0.5486139,0.1796121,-0.3492364,0.1322462,0.1505459,-0.3166913,-0.9351131,0.1654063,-0.9426801,-1.086704,0.5480589,0.5126445,0.7691537,-0.3338378,1.014506,-0.4852556,0.7309286,-0.0398072,-2.095979,-0.0287038,-0.6660029,-0.1198533,-0.6924329,-0.1968074
3.264772,-1.001063,-0.4815714,-0.5980562,-0.1567183,-1.542128,-1.062473,0.3737778,1.080445,-0.4345092,-0.2352643,-0.08690295,-0.4029507,-1.096293,-0.03816521,-1.117058,-0.4348274,-0.7659383,0.4882655,0.5339874,-0.3784447,1.070643,0.550174,1.364603,0.3039247,-1.694467,0.5344659,-0.6063008,0.06681827,-1.178003,-0.5489396
3.3314,-0.2047944,-1.002517,0.1805069,0.3330128,-0.4110149,0.1072993,0.3283497,0.6476796,-0.7109465,-0.1438078,-0.2597131,-0.2487219,-1.330585,0.233353,-1.111344,0.709603,0.1585309,1.005817,0.2816568,-0.23065,-0.8452523,0.0164303,1.255649,1.418783,-1.867485,-0.08095469,-1.352449,0.7824881,-0.2318805,-0.7632571
3.398028,-0.829205,-0.6102272,-0.3681173,0.2439033,-1.627416,-0.7554179,0.6157843,0.4975872,0.12234,-0.1245036,-0.3417293,-0.04962178,-0.7241797,-0.1187355,-0.8656256,0.2887396,-0.5046371,0.4565879,0.2147052,-0.3594088,-0.4097573,-0.08970317,0.3981095,1.476311,-1.108733,0.4602152,-0.8084781,0.3305072,-1.888472,-0.7851864
3.464656,-0.2054963,-0.7698167,0.6202866,-0.1489039,-0.9469193,-0.1118481,0.5188524,0.4362349,-0.8640929,-0.4169388,-0.5206578,1.04222,-0.1306477,-0.4632475,-0.9582861,1.674427,0.2729272,0.664152,0.2169717,-0.3151463,-1.67703,0.1794726,0.2518109,1.474956,-1.088324,-0.1848499,-0.2379499,-0.0377054,-0.8517253,-0.5514371
3.531284,-0.1918197,-0.6779148,0.003605325,0.1817581,-1.636015,0.0180218,0.9278125,1.153706,-0.9402859,-0.1662533,-0.3074102,0.735461,-0.2243685,-0.7974012,-0.7634584,0.0620704,-0.4144424,-0.3365734,0.3456034,-0.7967922,0.6440701,-0.1150125,0.7523751,1.531932,-1.538027,0.5150021,-0.5161936,0.007494961,-0.900848,-0.1530063
3.597912,-0.4780441,-1.153065,-0.2815586,-0.09954351,-1.279383,0.6107664,0.8733763,0.5695619,0.2345252,-0.05954778,-0.8545483,-0.2188709,-0.2489354,0.1148067,-1.029335,0.01203118,-0.426538,-0.8209541,-0.009033571,-0.5737895,0.5175712,-0.2834729,0.5528484,0.9078647,-1.260619,-0.4617565,-1.174754,0.2296858,-0.6708259,-0.3662568
3.66454,-0.3020859,-0.7328539,0.06843299,0.160156,-1.393556,0.2882512,0.500014,0.4679739,-0.6194835,0.09461306,-0.4331957,0.6124212,-0.5867715,-0.3655118,-0.7068591,0.192509,0.1058922,0.6803647,0.2863216,-0.619,-0.5738542,0.03786217,0.400727,0.9860016,-1.027587,-0.112248,-0.3136102,0.3764588,-1.046741,-0.2389963
