Frame,C009,C013,C005,C004,C012,C008,C015,C003,C018,C002,C014,C001,C000,C007,C011,C010,C006
4.863771,0.8128173,-0.08571591,0.2157131,-0.3144135,-0.01366796,1.674803,4.743984,8.57637,-1.473859,0.05635468,-0.749868,1.062971,-0.5459145,1.199855,-0.06498227,0.6748204,-0.3137365
4.930398,0.7982141,0.8101074,0.2743752,0.2755081,-0.1281738,1.557723,8.004033,8.355583,-2.548402,0.7774353,-1.149508,1.774491,-0.7711408,1.816149,-1.296603,1.165711,0.1811341
4.997025,-0.8533158,0.9002922,0.05319443,-0.7191877,-0.2883165,1.139649,6.378575,7.296584,1.289779,-0.2862777,-1.752412,0.9703518,-0.9484023,1.059785,-0.746043,0.6885846,-0.8612475
5.063652,-0.8803085,1.0518,0.2771117,1.617061,-0.6481429,1.287564,13.25614,7.774339,-3.325634,-0.524733,-1.170731,-2.896001,-0.4679356,-0.8158441,-2.070736,-0.2674879,1.903952
5.130279,-0.7560247,0.9160579,0.248743,0.08422112,-0.3465041,1.283114,3.149262,6.860174,-0.2675294,0.3457766,-1.231856,0.7822107,-0.4853315,0.3069127,-0.3055913,0.5876418,-0.6403092
5.196906,0.1834386,0.351795,0.2527485,-0.4295793,-0.3487576,1.60004,3.656902,7.709728,-1.268162,0.4280923,-2.135171,0.8655943,-0.4282703,-0.08360168,-0.1719165,-0.1722764,-0.8888193
5.263533,-0.04461091,0.5988067,0.5555359,0.2741556,-0.1961762,1.162647,3.842934,7.839837,2.611137,0.2298907,-1.866059,-0.9229741,-0.4100524,0.3747829,-0.6621704,0.9464623,0.2797907
5.33016,-0.7360333,0.4032834,0.2025808,-0.3704095,-0.230731,1.51576,1.355486,7.509373,1.58646,0.5750205,-0.7630569,-0.2429578,-0.1023043,1.530325,-0.5912756,0.9259604,0.1208375
5.396787,0.3753015,0.9076369,0.2819576,0.7100161,-0.2593072,1.30984,1.330598,6.250281,1.127069,0.04820213,-1.736394,-0.5438876,-0.1307195,0.6521043,-1.175462,0.8446383,-0.09668832
5.463414,-1.170128,1.838077,0.0470788,0.8645327,-0.5571275,1.313178,1.328333,5.558723,0.5230123,0.1775499,-2.85159,0.3074836,-0.5702133,1.148247,-0.1483305,1.260372,1.035865
5.530041,-1.534508,2.57267,0.06824454,1.028633,-0.5176874,1.124244,2.55703,5.72559,-0.2438317,0.07200963,-2.167162,0.9646893,-0.4468148,2.118312,-0.4852163,1.437319,1.194594
5.596668,1.30609,2.817856,-0.04900723,-1.416458,-0.7159494,1.316574,4.32776,4.486191,-2.259804,0.2454858,-2.06693,-0.5996843,-0.4240879,1.67246,-1.246349,1.604394,-0.3983538
5.663295,-0.3700863,2.180343,-0.1610164,-0.7687982,-0.2507531,1.321643,1.791857,4.5758,0.4064093,-0.1709894,-1.56602,-0.8005441,-0.0705252,0.9506283,-0.4513994,0.4942527,0.739658
5.729922,-0.05340638,2.52294,-0.3868524,-0.3477333,-0.8035472,2.336666,1.916885,3.452099,0.6578739,0.07051599,-1.27684,-1.118076,-0.4488491,1.768209,-0.7814358,1.124679,1.752771
5.796549,-0.3540405,2.233038,-0.1142504,0.5890766,-0.4039342,0.7421463,1.675213,3.598139,0.289441,0.3458172,-1.421195,0.0365314,-0.2349919,1.598733,-0.8816866,1.093921,0.4017083
5.863176,-0.3821541,1.563064,-0.1849638,0.3166212,-0.1999052,1.197936,1.744996,3.410007,0.06387041,0.3774729,-1.826861,-1.1758,-0.1145218,1.604084,-1.167967,1.744578,1.43473
5.929803,-0.2150939,1.470105,-0.2900734,-0.01154552,-0.7130097,1.032471,1.247693,2.88576,0.4261009,-0.1438325,-0.2918081,-0.284737,-0.3575754,1.533079,-1.664246,1.722623,-0.4068611
5.99643,0.9745745,1.535212,-0.1669392,0.1553945,-0.5151601,0.857309,3.596241,2.573397,-0.9827892,-0.2276433,-1.416163,-0.7093165,-0.2695392,1.182863,-1.890379,1.651184,-1.172968
6.063057,-0.8734675,1.612307,-0.3105746,-0.1051347,-0.4868201,1.271786,2.312735,2.550278,1.099637,-0.3161583,-1.898999,0.1852215,-0.05799658,1.786619,-1.17531,2.243365,0.3526955
6.129684,-1.765382,1.598539,-0.1907082,0.1962064,-0.0460944,0.7548515,3.451705,2.355602,-0.2246424,0.02330502,-1.732216,-0.9207379,-0.4325325,2.537621,-0.6470286,1.643064,-0.5131243
6.196311,-0.8250726,1.049467,-0.2648011,0.4049848,-0.4277077,0.7460242,1.3141,2.665643,1.228812,-0.1871832,-1.096168,-0.09731017,-0.3601196,1.37096,-0.5458457,1.713679,0.313377
6.262938,-1.461356,1.29512,0.1829256,0.2251402,-0.2741116,1.122028,1.640343,2.607399,0.2219058,0.6744516,-1.639324,-1.762827,-0.2809919,1.441097,-1.060381,1.282809,0.644763
6.329565,0.08076511,1.777915,-0.2751089,0.2057962,-0.1449954,0.9611751,2.248465,2.22878,-0.3024543,-0.02116722,-1.349192,-0.397917,-0.2269107,1.642329,-0.8256176,1.183452,-0.2020541
6.396192,0.01669754,1.542685,0.1153853,-0.1260316,-0.7016104,0.4151684,0.6919065,2.251496,0.4972406,-0.3942764,-1.244128,-1.178845,-0.2581377,1.567834,-0.9717102,1.026905,0.4866747
6.462819,-0.3108341,2.095076,-0.1989283,-0.3311241,-0.7467888,1.389417,1.598272,2.802401,0.711234,-0.2959024,-1.395697,-0.05042912,-0.5917724,1.440839,-0.2608807,0.7087058,-0.3334218
6.529446,-1.182038,1.462297,-0.03384021,0.4731633,-0.8127861,0.99812,0.6769975,1.938712,-0.03255255,0.06639829,-1.460215,-2.00231,0.232256,1.01781,-1.623335,2.257069,0.465357
6.596073,-0.04857269,1.57845,0.1086575,0.9977307,-1.014826,0.9806044,2.407109,1.711819,1.043067,0.01952617,-1.030316,-0.1023839,-0.01567605,1.529178,-1.165322,1.365378,0.1585219
